# Tempo, Teorico
0.00 0.00
0.02 3.08
0.04 6.15
0.06 9.22
0.08 12.27
0.10 15.32
0.12 18.35
0.14 21.38
0.16 24.39
0.18 27.40
0.20 30.40
0.22 33.39
0.24 36.36
0.26 39.33
0.28 42.30
0.30 45.25
0.32 48.19
0.34 51.12
0.36 54.05
0.38 56.96
0.40 59.87
0.42 62.77
0.44 65.66
0.46 68.54
0.48 71.41
0.50 74.27
0.52 77.12
0.54 79.97
0.56 82.80
0.58 85.63
0.60 88.45
0.62 91.26
0.64 94.06
0.66 96.85
0.68 99.63
0.70 102.41
0.72 105.17
0.74 107.93
0.76 110.68
0.78 113.42
0.80 116.15
0.82 118.88
0.84 121.59
0.86 124.30
0.88 127.00
0.90 129.69
0.92 132.37
0.94 135.05
0.96 137.71
0.98 140.37
1.00 143.02
1.02 145.66
1.04 148.29
1.06 150.92
1.08 153.54
1.10 156.15
1.12 158.75
1.14 161.34
1.16 163.92
1.18 166.50
1.20 169.07
1.22 171.63
1.24 174.18
1.26 176.73
1.28 179.27
1.30 181.80
1.32 184.32
1.34 186.83
1.36 189.34
1.38 191.84
1.40 194.33
1.42 196.81
1.44 199.29
1.46 201.75
1.48 204.21
1.50 206.67
1.52 209.11
1.54 211.55
1.56 213.98
1.58 216.40
1.60 218.82
1.62 221.22
1.64 223.63
1.66 226.02
1.68 228.40
1.70 230.78
1.72 233.15
1.74 235.52
1.76 237.87
1.78 240.22
1.80 242.56
1.82 244.90
1.84 247.22
1.86 249.54
1.88 251.86
1.90 254.16
1.92 256.46
1.94 258.75
1.96 261.04
1.98 263.32
2.00 265.59
2.02 267.85
2.04 270.11
2.06 272.36
2.08 274.60
2.10 276.83
2.12 279.06
2.14 281.29
2.16 283.50
2.18 285.71
2.20 287.91
2.22 290.10
2.24 292.29
2.26 294.47
2.28 296.65
2.30 298.82
2.32 300.98
2.34 303.13
2.36 305.28
2.38 307.42
2.40 309.56
2.42 311.68
2.44 313.80
2.46 315.92
2.48 318.03
2.51 320.13
2.53 322.23
2.55 324.31
2.57 326.40
2.59 328.47
2.61 330.54
2.63 332.61
2.65 334.66
2.67 336.71
2.69 338.76
2.71 340.80
2.73 342.83
2.75 344.85
2.77 346.87
2.79 348.89
2.81 350.89
2.83 352.89
2.85 354.89
2.87 356.88
2.89 358.86
2.91 360.83
2.93 362.80
2.95 364.77
2.97 366.73
2.99 368.68
3.01 370.62
3.03 372.56
3.05 374.50
3.07 376.42
3.09 378.35
3.11 380.26
3.13 382.17
3.15 384.08
3.17 385.97
3.19 387.87
3.21 389.75
3.23 391.63
3.25 393.51
3.27 395.38
3.29 397.24
3.31 399.10
3.33 400.95
3.35 402.80
3.37 404.64
3.39 406.47
3.41 408.30
3.43 410.13
3.45 411.94
3.47 413.76
3.49 415.56
3.51 417.37
3.53 419.16
3.55 420.95
3.57 422.74
3.59 424.52
3.61 426.29
3.63 428.06
3.65 429.82
3.67 431.58
3.69 433.33
3.71 435.08
3.73 436.82
3.75 438.55
3.77 440.28
3.79 442.01
3.81 443.73
3.83 445.44
3.85 447.15
3.87 448.86
3.89 450.55
3.91 452.25
3.93 453.94
3.95 455.62
3.97 457.30
3.99 458.97
4.01 460.64
4.03 462.30
4.05 463.96
4.07 465.61
4.09 467.26
4.11 468.90
4.13 470.53
4.15 472.17
4.17 473.79
4.19 475.41
4.21 477.03
4.23 478.64
4.25 480.25
4.27 481.85
4.29 483.45
4.31 485.04
4.33 486.63
4.35 488.21
4.37 489.79
4.39 491.36
4.41 492.93
4.43 494.49
4.45 496.05
4.47 497.60
4.49 499.15
4.51 500.69
4.53 502.23
4.55 503.77
4.57 505.30
4.59 506.82
4.61 508.34
4.63 509.86
4.65 511.37
4.67 512.87
4.69 514.37
4.71 515.87
4.73 517.36
4.75 518.85
4.77 520.33
4.79 521.81
4.81 523.29
4.83 524.76
4.85 526.22
4.87 527.68
4.89 529.14
4.91 530.59
4.93 532.03
4.95 533.48
4.97 534.91
4.99 536.35
5.01 537.78
5.03 539.20
5.05 540.62
5.07 542.04
5.09 543.45
5.11 544.86
5.13 546.26
5.15 547.66
5.17 549.05
5.19 550.44
5.21 551.83
5.23 553.21
5.25 554.59
5.27 555.96
5.29 557.33
5.31 558.69
5.33 560.05
5.35 561.41
5.37 562.76
5.39 564.11
